year,open_price,high_price,low_price,close_price,no.of_shares,no._of_trades,total_turnover_(rs.),deliverable_quantity,%_deli._qty_to_traded_qty,spread_high-low,spread_close-open,dematflagexist,bank_name,yearly_return_pct,volatility_index,liquidity_ratio,avg_trade_value,bullish_flag,bank
2016,450,638,366.65,450,209870914,2653122,99108655633,102877836,49.02,271.35,0,0,axisbank,0,271.35,472.2362605853996,37355.483702973324,FALSE,AXIS
2017,451,566,424.6,562.4,156666716,1366994,79234014127,81174867,51.81,141.4,111.4,0,axisbank,24.70066518847006,141.39999999999998,505.74886708546313,57962.22523800397,TRUE,AXIS
2018,562.4,676.9,477.5,619.8,144365944,1326917,83416764866,48118800,33.33,199.4,57.4,0,axisbank,10.206258890469414,199.4,577.8147016861539,62865.09620873047,TRUE,AXIS
2019,621.2,826.55,604.65,754,108849074,1485305,78447256470,35816030,32.9,221.9,132.8,0,axisbank,21.37797810688988,221.9,720.6975088276819,52815.58768737734,TRUE,AXIS
2020,755,760.6,285,620.35,231958550,3764716,1.05551E+11,58966198,25.42,475.6,-134.65,0,axisbank,-17.83443709,475.6,455.0438594050532,28036.99238242672,FALSE,AXIS
2021,621.9,866.6,617,678.55,147231268,2357189,1.07478E+11,82182570,55.82,249.6,56.65,0,axisbank,9.109181540440582,249.6,729.9946135219049,45595.84852211681,TRUE,AXIS
2022,680,958.9,618.1,933.85,138945078,2140821,1.10267E+11,96473564,69.43,340.8,253.85,0,axisbank,37.33088235294118,340.79999999999995,793.6007483402902,51506.83680653357,TRUE,AXIS
2023,930.05,1151.5,814.25,1102.95,47746294,1613751,46356049531,18815997,39.41,337.25,172.9,0,axisbank,18.590398365679278,337.25,970.882672715918,28725.651932051474,TRUE,AXIS
2024,1092.05,1339.55,995.95,1065.25,117891197,2290635,1.32424E+11,70552371,59.85,343.6,-26.8,0,axisbank,-2.454100087,343.5999999999999,1123.27335228431,57811.06115072894,FALSE,AXIS
2025,1066.95,1304,934,1230.55,68467863,1767984,75981247475,42869941,62.61,370,163.6,0,axisbank,15.333427058437591,370,1109.7359278615136,42976.20763253514,TRUE,AXIS
2016,115,128.75,78.6,107.2,166765728,1100736,17197740138,29554182,17.72,50.15,-7.8,0,bankofindia,-6.782608696,50.150000000000006,103.12514654090076,15623.855436725971,FALSE,BANK_OF_INDIA
2017,107.75,216.7,105.9,169.7,131884661,763451,20528952269,20526637,15.56,110.8,61.95,0,bankofindia,57.49419953596286,110.79999999999998,155.65837689797755,26889.678930278435,TRUE,BANK_OF_INDIA
